$ emulator MultiCharts BTCUSDT.P 2m 20250904-20260904 (BTC_USDT_USDT-1m-futures.feather)
emulacia MultiCharts: 262800 barov 2m, 525600 1m, 0 HTF
  20000/262800 barov, 80 obchodov
  40000/262800 barov, 209 obchodov
  60000/262800 barov, 375 obchodov
  80000/262800 barov, 517 obchodov
  100000/262800 barov, 619 obchodov
  120000/262800 barov, 794 obchodov
  140000/262800 barov, 956 obchodov
  160000/262800 barov, 1102 obchodov
  180000/262800 barov, 1221 obchodov
  200000/262800 barov, 1343 obchodov
  220000/262800 barov, 1490 obchodov
  240000/262800 barov, 1581 obchodov
  260000/262800 barov, 1689 obchodov
hotovo: 1708 obchodov, nerozhodnutelnych minut 0
kresby: {'orb_box': 730, 'orb_high': 730, 'orb_low': 730, 'orb_entry': 1708}
