$ emulator MultiCharts MNQ 3m 20190505-20260910 (MNQ_USD-1m.feather)
emulacia MultiCharts: 865262 barov 3m, 2591788 1m, 0 HTF
  20000/865262 barov, 135 obchodov
  40000/865262 barov, 267 obchodov
  60000/865262 barov, 399 obchodov
  80000/865262 barov, 536 obchodov
  100000/865262 barov, 669 obchodov
  120000/865262 barov, 806 obchodov
  140000/865262 barov, 938 obchodov
  160000/865262 barov, 1070 obchodov
  180000/865262 barov, 1202 obchodov
  200000/865262 barov, 1337 obchodov
  220000/865262 barov, 1468 obchodov
  240000/865262 barov, 1601 obchodov
  260000/865262 barov, 1733 obchodov
  280000/865262 barov, 1864 obchodov
  300000/865262 barov, 1994 obchodov
  320000/865262 barov, 2124 obchodov
  340000/865262 barov, 2256 obchodov
  360000/865262 barov, 2385 obchodov
  380000/865262 barov, 2517 obchodov
  400000/865262 barov, 2649 obchodov
  420000/865262 barov, 2737 obchodov
  440000/865262 barov, 2845 obchodov
  460000/865262 barov, 2976 obchodov
  480000/865262 barov, 3108 obchodov
  500000/865262 barov, 3240 obchodov
  520000/865262 barov, 3372 obchodov
  540000/865262 barov, 3452 obchodov
  560000/865262 barov, 3578 obchodov
  580000/865262 barov, 3710 obchodov
  600000/865262 barov, 3840 obchodov
  620000/865262 barov, 3972 obchodov
  640000/865262 barov, 4103 obchodov
  660000/865262 barov, 4235 obchodov
  680000/865262 barov, 4371 obchodov
  700000/865262 barov, 4503 obchodov
  720000/865262 barov, 4632 obchodov
  740000/865262 barov, 4764 obchodov
  760000/865262 barov, 4896 obchodov
  780000/865262 barov, 5028 obchodov
  800000/865262 barov, 5163 obchodov
  820000/865262 barov, 5295 obchodov
  840000/865262 barov, 5427 obchodov
  860000/865262 barov, 5559 obchodov
hotovo: 5592 obchodov, nerozhodnutelnych minut 2
kresby: {'sd_supply': 26690, 'sd_pattern': 52947, 'sd_demand': 26257, 'sd_entry': 5592}
