$ C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\.venv\Scripts\python.exe -m tester.ftrun backtesting --config C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\config.tester.json --userdir C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\user_data --strategy IBSImbalanceStrategy --cache none --export trades --timerange 20211001-20221001 --pairs BTC/USDT:USDT --timeframe 3m --dry-run-wallet 40000000.0 --fee 0.0005 --timeframe-detail 1m --datadir C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\data\tester\binance
2026-09-10 14:38:45,063 - freqtrade - INFO - freqtrade 2026.8
2026-09-10 14:38:45,718 - freqtrade.configuration.load_config - INFO - Using config: C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\config.tester.json ...
2026-09-10 14:38:45,719 - freqtrade.loggers - INFO - Enabling colorized output.
2026-09-10 14:38:45,720 - freqtrade.loggers - INFO - Logfile configured
… (skrátené) …
2026-09-10 14:38:45,723 - freqtrade.exchange.check_exchange - WARNING - Exchange "tester" is known to the ccxt library, available for the bot, but not officially supported by the Freqtrade development
2026-09-10 14:38:45,753 - freqtrade.resolvers.iresolver - INFO - Using resolved strategy IBSImbalanceStrategy from 
'C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\user_data\strategies\IBSImbalanceStrategy.py'...
C:\Users\Lenovo\Documents\_Documents\_workplace\git\imbalance_strategy\deploy\freqtrade\user_data\strategies\IBSImbalanceStrategy.json
2026-09-10 14:38:45,770 - tradebot.adapters.freqtrade.base - WARNING - ibs config: engMinRangePoints, ewMinWavePoints, liqSweepMinWick, minImbSizePoints, pbMinRangePoints, srClusterPoints sú v 
2026-09-10 14:38:47,302 - freqtrade.optimize.backtesting - INFO - Running backtesting for Strategy IBSImbalanceStrategy
2026-09-10 14:38:57,652 - tradebot.strategies.ibs.freqtrade - INFO - IBS BTC/USDT:USDT: 175501 barov, 105421 HTF barov, 200 zon, 193 signalov (95 long / 98 short)
Result for strategy IBSImbalanceStrategy
│ IBSImbalanceStrategy │    143 │        -0.12 │       -9129.448 │        -0.02 │      3:46:00 │   33     0   110  23.1 │ 14031.601 USDT  0.04% │
…
├───────┼────────┼──────────────┼─────────────────┼──────────────┼──────────────┼────────────────────────┤
│ TOTAL │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
└───────┴────────┴──────────────┴─────────────────┴──────────────┴──────────────┴────────────────────────┘
                                                    ENTER TAG STATS                                                    
┌───────────────────┬─────────┬──────────────┬─────────────────┬──────────────┬──────────────┬────────────────────────┐
│         Enter Tag │ Entries │ Avg Profit % │ Tot Profit USDT │ Tot Profit % │ Avg Duration │  Win  Draw  Loss  Win% │
├───────────────────┼─────────┼──────────────┼─────────────────┼──────────────┼──────────────┼────────────────────────┤
│ ibs:1635932880000 │       1 │          2.9 │        1606.415 │          0.0 │      8:09:00 │    1     0     0   100 │
│ ibs:1653293520000 │       1 │         3.38 │        1602.512 │          0.0 │     11:01:00 │    1     0     0   100 │
│ ibs:1650879180000 │       1 │         4.05 │        1601.032 │          0.0 │      9:12:00 │    1     0     0   100 │
│ ibs:1633080240000 │       1 │          3.7 │        1600.697 │          0.0 │      1:01:00 │    1     0     0   100 │
│ ibs:1641398580000 │       1 │         2.97 │        1591.579 │          0.0 │      3:39:00 │    1     0     0   100 │
│ ibs:1641808260000 │       1 │         2.98 │        1591.555 │          0.0 │      4:22:00 │    1     0     0   100 │
│ ibs:1638265500000 │       1 │         3.02 │        1590.289 │          0.0 │      4:14:00 │    1     0     0   100 │
│ ibs:1657035000000 │       1 │         2.88 │        1588.580 │          0.0 │      3:17:00 │    1     0     0   100 │
│ ibs:1663169220000 │       1 │         2.48 │        1582.584 │          0.0 │      2:43:00 │    1     0     0   100 │
│ ibs:1645117560000 │       1 │          2.5 │        1581.529 │          0.0 │      1:18:00 │    1     0     0   100 │
│ ibs:1651824000000 │       1 │         2.48 │        1581.218 │          0.0 │      5:33:00 │    1     0     0   100 │
│ ibs:1659366900000 │       1 │         2.15 │        1577.286 │          0.0 │      2:22:00 │    1     0     0   100 │
│ ibs:1638355500000 │       1 │         2.34 │        1576.538 │          0.0 │      3:38:00 │    1     0     0   100 │
│ ibs:1648453500000 │       1 │         2.13 │        1555.858 │          0.0 │     11:04:00 │    1     0     0   100 │
│ ibs:1651742460000 │       1 │         1.54 │        1545.072 │          0.0 │      4:40:00 │    1     0     0   100 │
│ ibs:1641977100000 │       1 │         1.49 │        1540.126 │          0.0 │      2:52:00 │    1     0     0   100 │
│ ibs:1644399720000 │       1 │         2.86 │        1432.716 │          0.0 │     11:03:00 │    1     0     0   100 │
│ ibs:1661332860000 │       1 │         1.68 │         913.833 │          0.0 │     10:24:00 │    1     0     0   100 │
│ ibs:1642762260000 │       1 │         1.87 │         875.055 │          0.0 │      9:54:00 │    1     0     0   100 │
│ ibs:1645692480000 │       1 │         7.37 │         844.846 │          0.0 │     11:57:00 │    1     0     0   100 │
│ ibs:1641487140000 │       1 │         0.74 │         541.343 │          0.0 │      4:06:00 │    1     0     0   100 │
│ ibs:1662566580000 │       1 │         0.72 │         525.569 │          0.0 │      3:42:00 │    1     0     0   100 │
