$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 129514 HTF
  20000/646995 barov, 8 obchodov
  40000/646995 barov, 13 obchodov
  60000/646995 barov, 20 obchodov
  80000/646995 barov, 30 obchodov
  100000/646995 barov, 38 obchodov
  120000/646995 barov, 47 obchodov
  140000/646995 barov, 60 obchodov
  160000/646995 barov, 70 obchodov
  180000/646995 barov, 76 obchodov
  200000/646995 barov, 90 obchodov
  220000/646995 barov, 98 obchodov
  240000/646995 barov, 102 obchodov
  260000/646995 barov, 108 obchodov
  280000/646995 barov, 119 obchodov
  300000/646995 barov, 129 obchodov
  320000/646995 barov, 138 obchodov
  340000/646995 barov, 147 obchodov
  360000/646995 barov, 151 obchodov
  380000/646995 barov, 158 obchodov
  400000/646995 barov, 168 obchodov
  420000/646995 barov, 175 obchodov
  440000/646995 barov, 185 obchodov
  460000/646995 barov, 192 obchodov
  480000/646995 barov, 197 obchodov
  500000/646995 barov, 207 obchodov
  520000/646995 barov, 224 obchodov
  540000/646995 barov, 229 obchodov
  560000/646995 barov, 236 obchodov
  580000/646995 barov, 237 obchodov
  600000/646995 barov, 247 obchodov
  620000/646995 barov, 252 obchodov
  640000/646995 barov, 260 obchodov
hotovo: 262 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 109719, 'swing': 77636, 'structure': 62446, 'session': 4411, 'sd_zone_pre': 5359, 'sd_zone_post': 5359, 'liq_sweep': 8960, 'tp_box': 325, 'sl_box': 325, 'expired': 58, 'skip': 330, 'sr_level': 8, 'sr_golden': 6}
